ADMIN_DATE,RECIP_ID
2020-12-14,178
2020-12-15,691
2020-12-16,1260
2020-12-17,1658
2020-12-18,2677
2020-12-19,430
2020-12-20,90
2020-12-21,2608
2020-12-22,4950
2020-12-23,9273
2020-12-24,1789
2020-12-25,1
2020-12-26,606
2020-12-27,485
2020-12-28,8421
2020-12-29,7531
2020-12-30,9482
2020-12-31,4997
2021-01-01,251
2021-01-02,1944
2021-01-03,1266
2021-01-04,6094
2021-01-05,7604
2021-01-06,8309
2021-01-07,8141
2021-01-08,10538
2021-01-09,3460
2021-01-10,1275
2021-01-11,7685
2021-01-12,8803
2021-01-13,8939
2021-01-14,9164
2021-01-15,7308
2021-01-16,3719
2021-01-17,1438
2021-01-18,8367
2021-01-19,8195
2021-01-20,11867
2021-01-21,9943
2021-01-22,9373
2021-01-23,1879
2021-01-24,1133
2021-01-25,9229
2021-01-26,9145
2021-01-27,14867
2021-01-28,12802
2021-01-29,13138
2021-01-30,2856
2021-01-31,890
2021-02-01,10601
2021-02-02,12868
2021-02-03,17826
2021-02-04,13323
2021-02-05,25590
2021-02-06,15076
2021-02-07,4462
2021-02-08,13990
2021-02-09,16355
2021-02-10,23568
2021-02-11,14221
