ADMIN_DATE,RECIP_ID
2020-12-14,178
2020-12-15,563
2020-12-16,1384
2020-12-17,1691
2020-12-18,2671
2020-12-19,431
2020-12-20,90
2020-12-21,2607
2020-12-22,4945
2020-12-23,9249
2020-12-24,1785
2020-12-25,1
2020-12-26,605
2020-12-27,488
2020-12-28,8415
2020-12-29,7507
2020-12-30,9539
2020-12-31,5035
2021-01-01,262
2021-01-02,1970
2021-01-03,1287
2021-01-04,6116
2021-01-05,7395
2021-01-06,8544
2021-01-07,8164
2021-01-08,10451
2021-01-09,3323
2021-01-10,1287
2021-01-11,7788
2021-01-12,8860
2021-01-13,8980
2021-01-14,9264
2021-01-15,7345
2021-01-16,3737
2021-01-17,1445
2021-01-18,8361
2021-01-19,8218
2021-01-20,11962
2021-01-21,10120
2021-01-22,10091
2021-01-23,3064
2021-01-24,2096
2021-01-25,10429
2021-01-26,10302
2021-01-27,16297
2021-01-28,13746
2021-01-29,14533
2021-01-30,3922
2021-01-31,2330
2021-02-01,12099
2021-02-02,14003
2021-02-03,19402
2021-02-04,15395
2021-02-05,27941
2021-02-06,17243
2021-02-07,6324
2021-02-08,14624
2021-02-09,18545
2021-02-10,27792
2021-02-11,27705
2021-02-12,31257
2021-02-13,14030
2021-02-14,4251
2021-02-15,11491
2021-02-16,13294
2021-02-17,22574
2021-02-18,20875
2021-02-19,20223
2021-02-20,7026
2021-02-21,1954
2021-02-22,7444
2021-02-23,14136
2021-02-24,25595
2021-02-25,26633
2021-02-26,29091
2021-02-27,14851
2021-02-28,4356
2021-03-01,13124
2021-03-02,19365
2021-03-03,32755
2021-03-04,36507
2021-03-05,47521
2021-03-06,24491
2021-03-07,6533
2021-03-08,21174
2021-03-09,28723
2021-03-10,32752
2021-03-11,41510
2021-03-12,44505
2021-03-13,21173
2021-03-14,4433
2021-03-15,15189
2021-03-16,30189
2021-03-17,34869
2021-03-18,37930
2021-03-19,33239
2021-03-20,14979
2021-03-21,5658
2021-03-22,14563
2021-03-23,22349
2021-03-24,35757
2021-03-25,28067
